,Algorithm,n_estimators,eta,max_depth,n_neighbors,AUC
0,['AdaBoost'],[50],[0],[0],[0],['0.7717618505683691']
1,['AdaBoost'],[100],[0],[0],[0],['0.7697850126580634']
