,Algorithm,n_estimators,eta,max_depth,n_neighbors,AUC
0,['KNN'],[0],[0],[0],[3],['0.8706366870084015']
1,['KNN'],[0],[0],[0],[5],['0.8280597185893294']
2,['KNN'],[0],[0],[0],[7],['0.7974955047481032']
3,['KNN'],[0],[0],[0],[11],['0.7693084928788716']
